#Anodenspannung[V]   Anodenstromstärke[mA] für Heizstrom 2.1, 2.2, 2.3, 2.4, 2.5
#0       0.00    0.00    0.00    0.00    0.00
10      0.02    0.02    0.02    0.03    0.03
20      0.05    0.06    0.06    0.08    0.07
30      0.09    0.11    0.12    0.14    0.14
40      0.13    0.16    0.18    0.21    0.21
50      0.16    0.22    0.26    0.29    0.30
60      0.19    0.28    0.34    0.37    0.40
100     0.25    0.50    0.65    0.79    0.83
125     0.26    0.57    0.85    1.06    1.17
150     0.27    0.61    0.98    1.36    1.56
175     0.27    0.63    1.07    1.58    1.88
200     0.28    0.64    1.12    1.80    2.21
225     0.28    0.65    1.16    1.99    2.55
250     0.28    0.65    1.18    2.15    2.86
